id,genre
1330,son-batá
1331,sonata
1332,songo
1333,songo-salsa
1334,sophisti-pop
1335,soukous
1336,soul
1337,soul blues
1338,soul jazz
1339,soul music
1340,soundtrack
1341,southern gospel
1342,southern harmony
1343,southern hip hop
1344,southern metal
1345,southern rock
1346,southern soul
1347,space age pop
1348,space music
1349,space rock
1350,spectralism
1351,speed garage
1352,speed metal
1353,speedcore
1354,spirituals
1355,spouge
1356,sprechgesang
1357,square dance
1358,squee
1359,st. louis blues
1360,steelband
1361,stoner metal
1362,stoner rock
1363,straight edge
1364,strathspeys
1365,stride
1366,string
1367,string quartet
1368,sufi music
1369,suite
1370,sunshine pop
1371,suomirock
1372,super eurobeat
1373,surf ballad
1374,surf instrumental
1375,surf music
1376,surf pop
1377,surf rock
1378,swamp blues
1379,swamp pop
1380,swamp rock
1381,swing
1382,swing music
1383,swingbeat
1384,sygyt
1385,symphonic black metal
1386,symphonic metal
1387,symphonic poem
1388,symphonic rock
1389,symphony
1390,synthpop
1391,synthpunk
1392,t'ong guitar
1393,taarab
1394,tai tu
1395,taiwanese pop
1396,tala
1397,talempong
1398,tambu
1399,tamburitza
1400,tamil christian keerthanai
1401,tango
1402,tanguk
1403,tappa
1404,tarana
1405,tarantella
1406,taranto
1407,tech
1408,tech house
1409,tech trance
1410,technical death metal
1411,technical metal
1412,techno
1413,technoid
1414,technopop
1415,techstep
1416,techtonik
1417,teen pop
1418,tejano
1419,tejano music
1420,tekno
1421,tembang sunda
1422,texas blues
1423,thai pop
1424,thillana
1425,thrash metal
1426,thrashcore
1427,thumri
1428,tibetan pop
1429,tiento
1430,timbila
1431,tin pan alley
1432,tinga
1433,tinku
1434,toeshey
1435,togaku
1436,trad jazz
1437,traditional bluegrass
1438,traditional pop music
1439,trallalero
1440,trance
1441,tribal house
1442,trikitixa
1443,trip hop
1444,trip rock
1445,trip-hop
1446,tropicalia
1447,tropicalismo
1448,tropipop
1449,truck-driving country
1450,tumba
1451,turbo-folk
1452,turkish music
1453,turkish pop
1454,turntablism
1455,tuvan throat-singing
1456,twee pop
1457,twist
1458,two tone
1459,táncház
1460,uk garage
1461,uk pub rock
1462,unblack metal
1463,underground music
1464,uplifting
1465,uplifting trance
1466,urban cowboy
1467,urban folk
1468,urban jazz
1469,vallenato
1470,vaudeville
1471,venezuela
1472,verbunkos
1473,verismo
1474,video game music
1475,viking metal
1476,villanella
1477,virelai
1478,vispop
1479,visual kei
1480,visual music
1481,vocal
1482,vocal house
1483,vocal jazz
1484,vocal music
1485,volksmusik
1486,waila
1487,waltz
1488,wangga
1489,warabe uta
1490,wassoulou
1491,weld
1492,were music
1493,west coast hip hop
1494,west coast jazz
1495,western
1496,western blues
1497,western swing
1498,witch house
1499,wizard rock
1500,women's music
1501,wong shadow
1502,wonky pop
1503,wood
1504,work song
1505,world fusion
1506,world fusion music
1507,world music
1508,worldbeat
1509,xhosa music
1510,xoomii
1511,yo-pop
1512,yodeling
1513,yukar
1514,yé-yé
1515,zajal
1516,zapin
1517,zarzuela
1518,zeibekiko
1519,zeuhl
1520,ziglibithy
1521,zouglou
1522,zouk
1523,zouk chouv
1524,zouklove
1525,zulu music
1526,zydeco
